date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:06	1071/1071	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Dec%202023%2001:00:06%20GMT	https://app.votelive.uk/robots.txt		(from )
02:00:06	9741/9741	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:06%20GMT	https://app.votelive.uk/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/index.html	(from )
02:00:07	420/420	---M--	200	added ('OK')	text/css	etag:%2240a11818c4b670d937b0a6e3c860d6bb%22	https://votify.s3.amazonaws.com/static/css/main.css	C:/Users/M%20S%20I/Desktop/Edward/Phish/votify.s3.amazonaws.com/static/css/main.css	(from https://app.votelive.uk/)
02:00:07	4687/4687	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:07%20GMT	https://app.votelive.uk/cdn-cgi/l/email-protection	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/cdn-cgi/l/email-protection.html	(from https://app.votelive.uk/)
02:00:08	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265660ffd-4d7%22	https://app.votelive.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://app.votelive.uk/)
02:00:11	14854/14854	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:08%20GMT	https://app.votelive.uk/poll/best-pizza-store/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/poll/best-pizza-store/index.html	(from https://app.votelive.uk/)
02:00:11	12564/12564	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:09%20GMT	https://app.votelive.uk/poll/best-brand-ambassador/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/poll/best-brand-ambassador/index.html	(from https://app.votelive.uk/)
02:00:11	165005/165005	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:08%20GMT	https://app.votelive.uk/auth/IG/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/auth/IG/index.html	(from https://app.votelive.uk/)
02:00:11	16595/16595	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202023%2001:00:11%20GMT	https://app.votelive.uk/poll/best-tattoo-shop/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/poll/best-tattoo-shop/index.html	(from https://app.votelive.uk/)
02:00:11	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2002%20Dec%202023%2001:00:09%20GMT	https://app.votelive.uk/auth/GM/	C:/Users/M%20S%20I/Desktop/Edward/Phish/app.votelive.uk/auth/GM/index.html	(from https://app.votelive.uk/)
02:00:12	1772/1772	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.cdninstagram.com/rsrc.php/v3/yI/r/VsNE-OHk_8a.png	C:/Users/M%20S%20I/Desktop/Edward/Phish/static.cdninstagram.com/rsrc.php/v3/yI/r/VsNE-OHk_8a.png	(from https://app.votelive.uk/auth/IG/)
02:00:12	3633/3633	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.cdninstagram.com/rsrc.php/v3/yR/r/lam-fZmwmvn.png	C:/Users/M%20S%20I/Desktop/Edward/Phish/static.cdninstagram.com/rsrc.php/v3/yR/r/lam-fZmwmvn.png	(from https://app.votelive.uk/auth/IG/)
